Magway,Natmauk,95.399658,20.353386,Township
Minbu,Minbu,94.875183,20.171606,Township
Minbu,Pwintbyu,94.669334,20.363335,Township
Minbu,Ngape,94.467667,20.075375,Township
Minbu,Salin,94.659363,20.5772,Township
Minbu,Sidoktaya,94.24559,20.4466,Township
Thayet,Thayet,95.177155,19.321503,Township
Thayet,Minhla,95.0367,19.965587,Township
Thayet,Mindon,94.731941,19.346293,Township
Thayet,Kamma,95.09594,19.028971,Township
Thayet,Aunglan,95.216843,19.358553,Township
Thayet,Sinbaungwe,95.166204,19.727261,Township
Pakokku,Pakokku,95.082268,21.335001,Township
Pakokku,Yesagyo,95.241655,21.633454,Township
Pakokku,Myaing,94.854317,21.61256,Township
Pakokku,Pauk,94.473737,21.45215,Township
Pakokku,Seikphyu,94.792427,20.906509,Township
Gangaw,Gangaw,94.135818,22.174213,Township
Gangaw,Tilin,94.092781,21.696356,Township
Gangaw,Saw,94.155609,21.149811,Township
Pyinoolwin,Pyinoolwin,96.456341,22.013972,Township
Pyinoolwin,Madaya,96.106392,22.21036,Township
Pyinoolwin,Singu,95.998993,22.549781,Township
Pyinoolwin,Mogoke,96.505402,22.921391,Township
Pyinoolwin,Thabeikkyin,95.97525,22.885933,Township
Kyaukse,Kyaukse,96.130333,21.613251,Township
Kyaukse,Sintgaing,96.103542,21.731078,Township
Kyaukse,Myittha,96.130859,21.424265,Township
Kyaukse,Tada-U,95.973709,21.819019,Township
Myingyan,Myingyan,95.391792,21.457451,Township
Myingyan,Taungtha,95.445412,21.27603,Township
Myingyan,Natogyi,95.654495,21.423702,Township
Myingyan,Kyaukpadaung,95.132179,20.84248,Township
Myingyan,Ngazun,95.685089,21.89691,Township
Nyaung-U,Nyaung-U,94.910108,21.195434,Township
Yamethin,Yamethin,96.137466,20.4305,Township
Yamethin,Pyawbwe,96.050941,20.594715,Township
Nay Pyi Taw,Nay Pyi Taw-Tatkon,96.202965,20.130411,Township
Nay Pyi Taw,Nay Pyi Taw-Pyinmana,96.208946,19.736099,Township
Nay Pyi Taw,Nay Pyi Taw-Lewe,96.110069,19.63467,Township
Meiktila,Meiktila,95.863113,20.881887,Township
Meiktila,Mahlaing,95.64698,21.098669,Township
Meiktila,Thazi,96.05838,20.850189,Township
Meiktila,Wundwin,96.030014,21.09691,Township
Mawlamyine,Kyaikmaraw,97.724106,16.370445,Township
Mawlamyine,Chaungzon,97.550484,16.351248,Township
Mawlamyine,Thanbyuzayat,97.7333,15.9667,Township
Mawlamyine,Mudon,97.724777,16.25812,Township
Mawlamyine,Ye,97.854233,15.251858,Township
Thaton,Thaton,97.367798,16.919701,Township
Thaton,Paung,97.456718,16.616785,Township
Thaton,Kyaikto,97.01989,17.311556,Township
Thaton,Bilin,97.239311,17.21987,Township
Sittwe,Ponnagyun,93.004295,20.331985,Township
Sittwe,Mrauk-U,93.18844,20.591845,Township
Sittwe,Kyauktaw,92.97282,20.843957,Township
Sittwe,Minbya,93.27269,20.364523,Township
Sittwe,Myebon,93.373764,20.046762,Township
Sittwe,Pauktaw,93.068169,20.180984,Township
Sittwe,Rathedaung,92.754158,20.488342,Township
Maungdaw,Maungdaw,92.36776,20.818966,Township
Maungdaw,Buthidaung,92.525,20.874975,Township
Kyaukpyu,Kyaukpyu,93.5544,19.4239,Township
Kyaukpyu,Munaung,93.7215,18.85506,Township
Kyaukpyu,Ramree,93.858856,19.08769,Township
Kyaukpyu,Ann,94.047913,19.795368,Township
Thandwe,Thandwe,94.360773,18.460999,Township
Thandwe,Toungup,94.239723,18.853531,Township
Thandwe,Gwa,94.579964,17.593689,Township
Yangon (North),Mingaladon,96.138504,17.045868,Township
Yangon (North),Hmawbi,96.041801,17.099867,Township
Yangon (North),Hlegu,96.227446,17.098752,Township
Yangon (North),Taikkyi,95.96344,17.31263,Township
Yangon (North),Htantabin,95.982695,17.017396,Township
Yangon (North),Shwepyithar,96.083294,16.955038,Township
Yangon (North),Hlaingtharya,96.068927,16.854019,Township
Yangon (South),Thanlyin,96.251837,16.763776,Township
Yangon (South),Kyauktan,96.323509,16.63393,Township
Yangon (South),Thongwa,96.52309,16.758602,Township
Yangon (South),Kayan,96.560497,16.905443,Township
Yangon (South),Twantay,95.93047,16.707344,Township
Yangon (South),Kawhmu,96.061951,16.546156,Township
Yangon (South),Kungyangon,96.0119,16.4394,Township
Yangon (South),Cocokyun,93.376261,14.122729,Township
Taunggyi,Nyaungshwe,96.93206,20.659571,Township
Taunggyi,Hopong,97.170238,20.797433,Township
Taunggyi,Hsihseng,97.250501,20.157818,Township
Taunggyi,Kalaw,96.55864,20.624178,Township
Taunggyi,Pindaya,96.662794,20.94158,Township
Taunggyi,Ywangan,96.442291,21.162815,Township
Taunggyi,Lawksawk,96.865177,21.246635,Township
Taunggyi,Pinlaung,96.782188,20.124392,Township
Taunggyi,Pekon,97.008308,19.863483,Township
Loilen,Loilen,97.565811,20.925358,Township
Loilen,Laihka,97.665085,21.270241,Township
Loilen,Nansang,97.720215,20.889118,Township
Loilen,Kunhing,98.424,21.301,Township
Loilen,Kyethi,97.819329,21.925154,Township
Loilen,Mongkaung,97.52699,21.611487,Township
Langkho,Monghsu,98.360435,21.905128,Township
Langkho,Langkho,98.003708,20.34222,Township
Langkho,Mongnai,97.8712,20.5136,Township
Langkho,Mawkmai,97.723686,20.230501,Township
Langkho,Mongpan,98.3541,20.3188,Township
Lashio,Lashio,97.747467,22.952765,Township
Lashio,Hseni,97.9736,23.3072,Township
Lashio,Mongyai,98.03942,22.423731,Township
Lashio,Tangyan,98.3968,22.4981,Township
Lashio,Pangsang,99.150806,22.180264,Township
Lashio,Namphan,99.09843,22.60297,Township
Lashio,Pangwaun,99.31591,23.03502,Township
Lashio,Mongmao,98.9674,22.9672,Township
Muse,Muse,97.901652,23.989886,Township
Muse,Namhkan,97.6818,23.837,Township
Muse,Kutkai,97.943413,23.459209,Township
Kyaukme,Kyaukme,97.036713,22.541719,Township
Kyaukme,Nawnghkio,96.79895,22.33003,Township
Kyaukme,Hsipaw,97.298103,22.618938,Township
Kyaukme,Namtu,97.40049,23.093611,Township
Kyaukme,Namhsan,97.161255,22.964067,Township
Kyaukme,Mongmit,96.669991,23.11422,Township
Kyaukme,Mabein,96.629204,23.472921,Township
Kyaukme,Manton,97.120392,23.252089,Township
Kunlong,Kunlong,98.644531,23.407267,Township
Kunlong,Hopang,98.75029,23.425442,Township
Laukkaing,Laukkaing,98.764084,23.691633,Township
Laukkaing,Konkyan,98.53934,23.82946,Township
Kengtung,Kengtung,99.6036,21.291885,Township
Kengtung,Mongkhet,99.463768,21.749899,Township
Kengtung,Mongyang,99.687111,21.842346,Township
Kengtung,Matman,98.865746,21.961956,Township
Kengtung,Mongla,100.018669,21.672895,Township
Monghsat,Monghsat,99.247238,20.505438,Township
Monghsat,Mongping,99.026,21.3502,Township
Monghsat,Mongton,98.900078,20.303505,Township
Tachileik,Tachileik,99.884033,20.453041,Township
Monghpyak,Monghpyak,99.923332,20.878035,Township
Monghpyak,Mongyawng,100.359421,21.181652,Township
Pathein,Kangyidaunt,94.89476,16.932903,Township
Pathein,Thabaung,94.805885,17.047335,Township
Pathein,Ngapudaw,94.692236,16.545095,Township
Pathein,Kyonpyaw,95.2,17.3,Township
Pathein,Yegyi,95.120672,17.344564,Township
Pathein,Kyaunggon,95.190399,17.107683,Township
Hinthada,Hinthada,95.458183,17.649578,Township
Hinthada,Zalun,95.556656,17.478098,Township
Hinthada,Lemyethna,95.174538,17.600376,Township
Hinthada,Myanaung,95.31779,18.286958,Township
Hinthada,Kyangin,95.239143,18.340347,Township
Hinthada,Ingapu,95.269257,17.809811,Township
Myaungmya,Myaungmya,94.929767,16.599261,Township
Myaungmya,Einme,95.180499,16.896198,Township
Labutta,Labutta,94.758892,16.145565,Township
Myaungmya,Wakema,95.180412,16.60383,Township
Labutta,Mawlamyinegyun,95.262983,16.378942,Township
Maubin,Maubin,95.649398,16.730231,Township
Maubin,Pantanaw,95.465951,16.982115,Township
Maubin,Nyaungdon,95.633592,17.049025,Township
Maubin,Danubyu,95.595833,17.254681,Township
Pyapon,Pyapon,95.68322,16.2843,Township
Pyapon,Bogale,95.396799,16.294996,Township
Pyapon,Kyaiklat,95.726143,16.444309,Township
Pyapon,Dedaye,95.885121,16.408056,Township
